code,area,co2_emission,average_income,employment_rate,active_enterprises,population
E09000001,City of London,806.5705509,157000,64.95726496,32990,7375
E09000002,Barking and Dagenham,561.3771768,26700,68.02147239,7980,185911
E09000003,Barnet,1250.835756,48600,74.92150706,29845,356386
E09000004,Bexley,831.6900351,32300,75.44757033,10300,231997
E09000005,Brent,970.3545448,34100,68.78895815,17505,311215
E09000006,Bromley,1021.413252,44000,78.04284323,17780,309392
E09000007,Camden,1100.088512,88000,66.44182125,37510,220338
E09000008,Croydon,1071.059172,33800,74.08890669,17285,363378
E09000009,Ealing,1161.306291,37300,75.88260315,20690,338449
E09000010,Enfield,1069.24063,34600,68.73023046,15560,312466
E09000011,Greenwich,784.8500227,37500,73.31223629,11640,254557
E09000012,Hackney,647.9936703,40600,73.08641975,23535,246270
E09000013,Hammersmith and Fulham,683.6279933,66600,76.38572513,14650,182493
E09000014,Haringey,657.9588008,39900,67.94354839,14130,254926
E09000015,Harrow,623.2186004,38400,79.01924271,17275,239056
E09000016,Havering,890.4630311,33900,76.44812222,11305,237232
E09000017,Hillingdon,2097.508945,34300,74.37934459,15085,273936
E09000018,Hounslow,1102.648693,39900,74.94646681,15195,253957
E09000019,Islington,705.5517697,59500,77.05382436,22295,206125
E09000020,Kensington and Chelsea,807.3902477,171000,67.87372331,15245,158649
E09000021,Kingston-upon-Thames,562.3909185,44500,76.15449202,9825,160060
E09000022,Lambeth,880.6860766,43900,80.84,16940,303086
E09000023,Lewisham,668.0224894,35900,83.25426945,11605,275885
E09000024,Merton,621.6024612,53200,79.71326165,13110,199693
E09000025,Newham,1039.461874,28200,68.66473749,14570,307984
E09000026,Redbridge,764.8717545,35500,70.24463305,16635,278970
E09000027,Richmond-upon-Thames,678.150349,67000,74.16158537,15105,186990
E09000028,Southwark,1012.50964,45400,78.96757679,19370,288283
E09000029,Sutton,555.8428682,35500,79.31558935,9570,190146
E09000030,Tower Hamlets,1185.760861,46600,62.17277487,20545,254096
E09000031,Waltham Forest,648.0099031,30300,78.10140237,12755,258249
E09000032,Wandsworth,859.8280765,64900,79.83592401,20095,306995
E09000033,Westminster,1984.283036,107000,66.10366919,59945,219396
